Bone,X,Y,Z,Parent,Symmetric,Foot,Fat

"hips",0.,0.,0.,"","",,Y
"back",0.,0.15,0.,"hips","",,
"shoulders",0.,0.5,0.,"back","",,Y
"head",0.,0.7,0.,"shoulders","",,Y

"lshoulder",-0.2,0.5,0.,"shoulders","rshoulder",,
"lelbow",-0.4,0.25,0.075,"lshoulder","relbow",,
"lwrist",-0.6,0.05,0.15,"lelbow","rwrist",,
"lhand",-0.6,0.0,0.15,"lwrist","rhand",,

"rshoulder",0.2,0.5,0.,"shoulders","lshoulder",,
"relbow",0.4,0.25,0.075,"rshoulder","lelbow",,
"rwrist",0.6,0.05,0.15,"relbow","lwrist",,
"rhand",0.6,0.00,0.15,"rwrist","lhand",,

"lthigh",-0.1,0.,0.,"hips","rthigh",,
"lknee",-0.15,-0.35,0.,"lthigh","rknee",,
"lankle",-0.15,-0.8,0.,"lknee","rankle",,
"lfoot",-0.15,-0.8,0.1,"lankle","rfoot",Y,

"rthigh",0.1,0.,0.,"hips","lthigh",,
"rknee",0.15,-0.35,0.,"rthigh","lknee",,
"rankle",0.15,-0.8,0.,"rknee","lankle",,
"rfoot",0.15,-0.8,0.1,"rankle","lfoot",Y,
