Bone,X,Y,Z,Parent,Symmetric,Foot,Fat

"shoulders",0.,0.,0.5,"","",,Y
"back",0.,0.,0.,"shoulders","",,
"hips",0.,0.,-0.5,"back","",,Y
"neck",0.,0.2,0.63,"shoulders","",,
"head",0.,0.2,0.9,"neck","",,Y

"lthigh",-0.15,0.,-0.5,"hips","rthigh",,
"lhknee",-0.2,-0.4,-0.5,"lthigh","rhknee",,
"lhfoot",-0.2,-0.8,-0.5,"lhknee","rhfoot",Y,

"rthigh",0.15,0.,-0.5,"hips","lthigh",,
"rhknee",0.2,-0.4,-0.5,"rthigh","lhknee",,
"rhfoot",0.2,-0.8,-0.5,"rhknee","lhfoot",Y,

"lshoulder",-0.2,0.,0.5,"shoulders","rshoulder",,
"lfknee",-0.2,-0.4,0.5,"lshoulder","rfknee",,
"lffoot",-0.2,-0.8,0.5,"lfknee","rffoot",Y,

"rshoulder",0.2,0.0,0.5,"shoulders","lshoulder",,
"rfknee",0.2,-0.4,0.5,"rshoulder","lfknee",,
"rffoot",0.2,-0.8,0.5,"rfknee","lffoot",Y,

"tail",0.,0.,-0.7,"hips","",,
